title	tags
RT @DonaldJTrumpJr: Watching Hollywood turn into ISIS sympathizers because of their Trump Derangement Syndrome is peak 2019. To make this s…	['Donald Trump']
RT @TeaPainUSA: Trump whines and falsely calls the latest deposition witness a "Never-Trumper."Guess which idiot appointed this "Never-Tr…	['Donald Trump']
RT @DonaldJTrumpJr: Watching Hollywood turn into ISIS sympathizers because of their Trump Derangement Syndrome is peak 2019. To make this s…	['Donald Trump']
RT @ProudResister: TRUE STORY: Elizabeth Warren predicted in 2016 that Donald Trump would be one of “history’s worst authoritarians.” @EWar…	['Donald Trump']
RT @TheLifeOfLane: Kicking people out of your show because of their political opinions sounds a little discriminatory don’t ya think? It’s…	['Donald Trump']
RT @RockyMountViews: @RepAlexMooney I would rather that you take the side of the US Constitution and our laws rather than Donald Trump.Do…	['Donald Trump']
RT @mayawiley: This is such an a-historical comment, as well as Constitutiinally wrong. I’m no #Nixon enthusiast. But he is credited with d…	['Nixon']
RT @JanessaVela: LMAO at the people who said that he shouldn’t use his platform like that cus the dude is a fan. Don’t play victim when all…	['Donald Trump']
RT @JanessaVela: LMAO at the people who said that he shouldn’t use his platform like that cus the dude is a fan. Don’t play victim when all…	['Donald Trump']
RT @TheRynheart: ‘Evangelical Christian Pastor Perry Stone has claimed that Democratic lawmakers "have demons in them" and are "trying to p…	['Donald Trump']
Report: Baghdadi raid succeeded ‘in spite of,' not thanks to, Donald Trump’s actions https://t.co/9wwWs2CZtE	['Donald Trump']
so the more i think about Donald Trump's lust for his daughter publicly and Ivanka's response i think they have a v… https://t.co/kZF68DqLeg	['Donald Trump']
RT @JanessaVela: LMAO at the people who said that he shouldn’t use his platform like that cus the dude is a fan. Don’t play victim when all…	['Donald Trump']
RT @RepAlexMooney: Today I was once again denied the opportunity to attend the secret so-called impeachment hearings. I will continue to fi…	['Donald Trump']
RT @RepMattGaetz: MUST-READ: "Gaetz: 'Donald Trump Is Innocent, and the Deep State Is Guilty'"https://t.co/FXSdXJjLS2	['Donald Trump']
RT @DonaldJTrumpJr: Watching Hollywood turn into ISIS sympathizers because of their Trump Derangement Syndrome is peak 2019. To make this s…	['Donald Trump']
#Internacionales En el gobierno de Donald Trump esperan reunirse con Alberto Fernández, pero advierten por Venezuela https://t.co/dH1PIrxhEt	['Internacionales']
RT @alexiadoussan: Nah. People have their right to their own opinion, but understand that their opinion is SUPPORTING a man who is racist,…	['Donald Trump']
RT @OhNoSheTwitnt: Louis CK is touring, Harvey Weinstein is going to comedy shows where men boo rape victims, and Donald Trump is the presi…	['Donald Trump']
