title	tags
RT @StandWithUs: A teacher in Belgium shared a video supporting a holy war against Jews.https://t.co/ozqUb1Ip7f	['jihad']
RT @StandWithUs: A teacher in Belgium shared a video supporting a holy war against Jews.https://t.co/ozqUb1Ip7f	['jihad']
RT @michellemalkin: 3/ So the Sauds are going to pony up &amp; "compensate" Pensacola families. How much will the AMERICAN government compensat…	['jihad']
RT @paulsperry_: MSM keep bringing up Pearl Harbor base shooting to dilute Pensacola attack as just another shooting. But Pearl Harbor atta…	['jihad']
RT @paulsperry_: MSM keep bringing up Pearl Harbor base shooting to dilute Pensacola attack as just another shooting. But Pearl Harbor atta…	['jihad']
The majority of #Muslims who participated in #jihadshad no “intellectual sophistication” did not “study religio… https://t.co/xYdi8IKUG2	['Muslims', 'jihads']
RT @TIinExile: India 1892:Umra Khan was known as "Napoleon of Pathans".He raided a camp of Non Muslim "Kafirs".He abducted 5 Kafir ma…	['jihad']
RT @UnSubtleDesi: Tavleen Singh endorses Ummah: Confuses CAB with NRC to say Muslims will turn Jihadis if illegal infiltrators are not give…	['jihad']
RT @StandWithUs: A teacher in Belgium shared a video supporting a holy war against Jews.https://t.co/ozqUb1Ip7f	['jihad']
RT @OmoGbajaBiamila: Imagine seeing cake and you're already declaring Jihad. Ordinary cake oooo.Flour, butter, eggs, sugar, mixed togethe…	['jihad']
RT @paulsperry_: MSM keep bringing up Pearl Harbor base shooting to dilute Pensacola attack as just another shooting. But Pearl Harbor atta…	['jihad']
RT @Maq_one: You should treat the Muslim minority equitably because we are fellow human beings and deserve the same rights as citizens not…	['jihad']
RT @thestevennabil: Breaking: The rocket launch pads in Al Dhobat area (Hay al Jihad) Baghdad, two rockets went off to target the Military…	['jihad']
RT @michellemalkin: 4/ Exactly. Pro-tip for GOP politicians who say they are for #AmericaFirst - train your attention on American culpabili…	['AmericaFirst']
RT @paulsperry_: MSM keep bringing up Pearl Harbor base shooting to dilute Pensacola attack as just another shooting. But Pearl Harbor atta…	['jihad']
RT @StandWithUs: A teacher in Belgium shared a video supporting a holy war against Jews.https://t.co/ozqUb1Ip7f	['jihad']
RT @michellemalkin: 3/ So the Sauds are going to pony up &amp; "compensate" Pensacola families. How much will the AMERICAN government compensat…	['jihad']
RT @michellemalkin: 4/ Exactly. Pro-tip for GOP politicians who say they are for #AmericaFirst - train your attention on American culpabili…	['AmericaFirst']
@RangDeTiranga I hear only #Jihad .	['Jihad']
RT @SKS_Shivhare: -Money Power: Christians giving 7-8 Lakh per convert-Muscle Power: Family Killings, Love Jihad by Muslims-Hindus are to…	['jihad']
RT @EnemiesOFSerbs: A picture is worth a thousand words. #KosovoAlbanianTerrorists#NATOaggression1999 #Clintons #MSM #CNNFakeNews #AntiSe…	['KosovoAlbanianTerrorists', 'NATOaggression1999', 'Clintons', 'MSM', 'CNNFakeNews']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
Former President @KarzaiH and former NSA @MHaneefAtmar have welcomed the resumption of peace talks between the US a… https://t.co/STxYsRhRtv	['taliban']
RT @BhittaniKhannnn: #Dawn's "journalists" can CALL &amp; SUPPORT THOSE who call our Army terrorist &amp; promise to kill them, those who call the…	['Dawn']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
During #ANDSF operation n #Marja #Helmand and charkh #Logar a big weapon depot and explosive materials of #Taliban… https://t.co/mBl3AmnzrY	['ANDSF', 'Marja', 'Helmand', 'Logar', 'Taliban']
RT @JainNirmal: The state has a long way to further evolve to have perfect process for justice.Some exceptional cases call for exceptions t…	['taliban']
RT @rahmanrahmanee: Compared to last year, findings show that the Taliban terrorists who surrendered to #ANDSF r doubled this year! Why? Bc…	['ANDSF']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
@asfandyarmir The question is who will provide more weapons to Taliban to fight ISIS-K. @US4AfghanPeace tweet from… https://t.co/9aPatOV6Ta	['taliban']
RT @TahaSSiddiqui: Taliban were the first student union I supported: PM Imran #satire https://t.co/SGiardtw1g	['satire']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @IWasHrren: Obama’s treasonous rules of engagement responsible for death of 38, including Seal Team 6. Air Force refused permission for…	['taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
#Kashmiris protest against #Pakistan sponsored terrorism outside Pakistan Embassy in #Washington DC. Protesters c… https://t.co/uDrwlQU08E	['Kashmiris', 'Pakistan', 'Washington']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @SengeHSering: Khalistani Sikhs love #Pakistan &amp; hate #India because?Pakistan's Jihadi terrorists/ Taliban killed 1000s of Afghan Sikhs…	['Pakistan', 'India']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
@jasonargall @MoneroWolf @FiatLuxGenesis @josh_hammer Ah so you would be OK with jailing people who “worship false… https://t.co/Amuap0y4Pt	['taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @khaleel_bhat: This is my kashmir ❤️ https://t.co/FGpHnqtBym	['taliban']
RT @RCQ92130: 8. Other unintended consequences later happened.The Talilban, knowing OBastard &amp; Clinton had illegally funneled arms to the…	['taliban']
RT @IWasHrren: Obama’s treasonous rules of engagement responsible for death of 38, including Seal Team 6. Air Force refused permission for…	['taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @srikanthbjp_: @MonaAmbegaonkar Tweeting without proof is also a crime, and wearing activist mask and tweeting like taliban-ISIS Fake…	['taliban']
RT @rishibagree: Only Congress can compare #hyderabadpolice with ISIS.Wondering why they are sympathetic to the rapist and killers of #Pr…	['hyderabadpolice']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @AdityaRajKaul: Kashmiris protest against Pakistan sponsored terrorism outside Pakistan Embassy in Washington DC. Protesters chant follo…	['terrorism', 'taliban']
RT @JulieReichwein1: Laura Loomer on Islam in America-Video https://t.co/bG6uSD4cRbPlz Support Loomer4Congress $$$PLEASE RETWEET	['islam']
RT @amnaaww: Woman: "I have rights. I will pursue further studies. My career is just as important as yours. Theres more to life than being…	['islam']
RT @TosinOlugbenga: Islam is from the Middle East, so they are core Muslim countries &amp; they made these Quaran cakes. But some crass illit…	['islam']
RT @MrOdanz: So the Muslim(s) who made order for the cake are not Muslim enough abi? They don't know the tenets of Islam? It is a few une…	['islam']
RT @AdamAli73022189: @LiamPayne @stormzy @CapitalOfficial https://t.co/zIeWxm2RTB  (with translation to English )please listen to the noble…	['islam']
RT @Ibrahim_m__i: "The biggest enemy of Islam is the ignorant Muslim, whose ignorance leads him to intolerance, whose actions destroy the t…	['islam']
RT @AdamAli73022189: @LiamPayne @stormzy @CapitalOfficial https://t.co/LAMSvDXSp3 (women in islam)Christianity and Judaism.this book availa…	['islam']
RT @MoTheAtheist: The decline of Islam is accelerating! 😏😏"Arabs describing themselves as “not religious” is up to 13%, from 8% in 2013. T…	['islam']
What do we have here? 👀CIP Camp🔥 is back this year and we’re recruiting volunteers 🙋‍♀🙋‍♂ as GLs and GMs!Want t… https://t.co/r43n53iNHV	['islam']
RT @amandadonnell14: London Mayor Sadiq Khan: “One of Our Strengths Is Our Diversity”  Diversity In London Starts With Islam &amp; Ends With Ap…	['islam']
RT @amnaaww: Woman: "I have rights. I will pursue further studies. My career is just as important as yours. Theres more to life than being…	['islam']
RT @Youniis_Baloch6: Shut up real Baloch doesn't abuse others religion. Understand?F@ke ids like urs just spread hatred against other reli…	['islam']
@RealCandaceO While many atheists are leftists there are plenty that are not, especially in Europe where religion i… https://t.co/FDB72jA5Ac	['religion', 'islam']
RT @Andromeda_JY: Read an interesting tweet. If you remove islam from Turkey or Iran, the people will still remain Turks and Persians. They…	['islam', 'islam']
RT @uzmayy_248: left Hinduism  and accepted Islam😍❤Maa Shaa Allah!! ❤️❤️ https://t.co/sJ0h831Akj	['islam']
